"roi_name","site","lat","lon","roitype","active","show_link","show_data_link","sequence_number","description","first_date","last_date","site_years","missing_data_pct","roi_page","roi_stats_file","one_day_summary","three_day_summary","data_release"
"aafcottawacfiaf14n_AG_1000","aafcottawacfiaf14n",45.2929,-75.767,"AG",TRUE,TRUE,TRUE,1000,"Agricultural field","2021-09-02","2022-11-28","1.2","4.0","https://phenocam.nau.edu/webcam/roi/aafcottawacfiaf14n/AG_1000/","https://phenocam.nau.edu/data/archive/aafcottawacfiaf14n/ROI/aafcottawacfiaf14n_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/aafcottawacfiaf14n/ROI/aafcottawacfiaf14n_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/aafcottawacfiaf14n/ROI/aafcottawacfiaf14n_AG_1000_3day.csv",NA
"admixpasture_AG_1000","admixpasture",-43.6493,172.3495,"AG",TRUE,TRUE,TRUE,1000,"grass in foreground","2021-03-03","2022-09-08","1.5","2.0","https://phenocam.nau.edu/webcam/roi/admixpasture/AG_1000/","https://phenocam.nau.edu/data/archive/admixpasture/ROI/admixpasture_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/admixpasture/ROI/admixpasture_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/admixpasture/ROI/admixpasture_AG_1000_3day.csv",NA
"adrycpasture_AG_1000","adrycpasture",-43.6513,172.3501,"AG",TRUE,TRUE,TRUE,1000,"Pasture","2021-06-10","2022-09-08","1.3","0.0","https://phenocam.nau.edu/webcam/roi/adrycpasture/AG_1000/","https://phenocam.nau.edu/data/archive/adrycpasture/ROI/adrycpasture_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/adrycpasture/ROI/adrycpasture_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/adrycpasture/ROI/adrycpasture_AG_1000_3day.csv",NA
"alligatorriver_DB_1000","alligatorriver",35.7879,-75.9038,"DB",TRUE,TRUE,TRUE,1000,"canopy level DB","2012-05-04","2021-12-22","9.0","7.0","https://phenocam.nau.edu/webcam/roi/alligatorriver/DB_1000/","https://phenocam.nau.edu/data/archive/alligatorriver/ROI/alligatorriver_DB_1000_roistats.csv","https://phenocam.nau.edu/data/archive/alligatorriver/ROI/alligatorriver_DB_1000_1day.csv","https://phenocam.nau.edu/data/archive/alligatorriver/ROI/alligatorriver_DB_1000_3day.csv",NA
"arbutuslake_DB_1000","arbutuslake",43.98207,-74.23322,"DB",FALSE,TRUE,TRUE,1000,"canopy level DB","2008-06-12","2014-08-24","5.4","13.0","https://phenocam.nau.edu/webcam/roi/arbutuslake/DB_1000/","https://phenocam.nau.edu/data/archive/arbutuslake/ROI/arbutuslake_DB_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arbutuslake/ROI/arbutuslake_DB_1000_1day.csv","https://phenocam.nau.edu/data/archive/arbutuslake/ROI/arbutuslake_DB_1000_3day.csv",NA
"arbutuslakeinlet_DB_1000","arbutuslakeinlet",43.99336,-74.24527,"DB",TRUE,TRUE,TRUE,1000,"canopy level DB (only a small part of FOV is DB)","2015-08-18","2017-12-07","1.9","18.0","https://phenocam.nau.edu/webcam/roi/arbutuslakeinlet/DB_1000/","https://phenocam.nau.edu/data/archive/arbutuslakeinlet/ROI/arbutuslakeinlet_DB_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arbutuslakeinlet/ROI/arbutuslakeinlet_DB_1000_1day.csv","https://phenocam.nau.edu/data/archive/arbutuslakeinlet/ROI/arbutuslakeinlet_DB_1000_3day.csv",NA
"arbutuslakeinlet_DB_2000","arbutuslakeinlet",43.99336,-74.24527,"DB",TRUE,TRUE,TRUE,2000,"canopy level DB after possible AWB change detected","2018-05-23","2022-11-25","2.2","50.0","https://phenocam.nau.edu/webcam/roi/arbutuslakeinlet/DB_2000/","https://phenocam.nau.edu/data/archive/arbutuslakeinlet/ROI/arbutuslakeinlet_DB_2000_roistats.csv","https://phenocam.nau.edu/data/archive/arbutuslakeinlet/ROI/arbutuslakeinlet_DB_2000_1day.csv","https://phenocam.nau.edu/data/archive/arbutuslakeinlet/ROI/arbutuslakeinlet_DB_2000_3day.csv",NA
"arbutuslakeinlet_EN_1000","arbutuslakeinlet",43.99336,-74.24527,"EN",FALSE,TRUE,TRUE,1000,"canopy level evergreen","2015-08-18","2017-12-07","1.8","23.0","https://phenocam.nau.edu/webcam/roi/arbutuslakeinlet/EN_1000/","https://phenocam.nau.edu/data/archive/arbutuslakeinlet/ROI/arbutuslakeinlet_EN_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arbutuslakeinlet/ROI/arbutuslakeinlet_EN_1000_1day.csv","https://phenocam.nau.edu/data/archive/arbutuslakeinlet/ROI/arbutuslakeinlet_EN_1000_3day.csv",NA
"arbutuslakeinlet_EN_2000","arbutuslakeinlet",43.99336,-74.24527,"EN",TRUE,TRUE,TRUE,2000,"canopy level evergreen - AWB change","2018-05-23","2022-11-25","2.1","53.0","https://phenocam.nau.edu/webcam/roi/arbutuslakeinlet/EN_2000/","https://phenocam.nau.edu/data/archive/arbutuslakeinlet/ROI/arbutuslakeinlet_EN_2000_roistats.csv","https://phenocam.nau.edu/data/archive/arbutuslakeinlet/ROI/arbutuslakeinlet_EN_2000_1day.csv","https://phenocam.nau.edu/data/archive/arbutuslakeinlet/ROI/arbutuslakeinlet_EN_2000_3day.csv",NA
"archboldavir_AG_1000","archboldavir",27.176064,-81.21958,"AG",TRUE,TRUE,TRUE,1000,"entire AG in FOV","2016-11-18","2022-11-28","5.7","6.0","https://phenocam.nau.edu/webcam/roi/archboldavir/AG_1000/","https://phenocam.nau.edu/data/archive/archboldavir/ROI/archboldavir_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/archboldavir/ROI/archboldavir_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/archboldavir/ROI/archboldavir_AG_1000_3day.csv",NA
